,nb_A,nb_W,nb_A_W,nb_A_ma,nb_W_ma
63,29978.5,1601.95,31580.45,31437.78,1708.5
64,31279.1,1594.15,32873.25,31350.02,1675.2
65,32259.75,1599.65,33859.4,31369.35,1653.18
66,32586.2,1646.55,34232.75,31474.8,1647.55
67,32548.3,1636.55,34184.85,31518.87,1640.84
68,32126.4,1659.7,33786.1,31486.75,1633.15
69,31559.55,1683.5,33243.05,31413.09,1627.18
70,30567.6,1687.7,32255.3,31243.92,1621.19
71,29376.75,1729.85,31106.6,31203.17,1639.4
72,27416.5,1760.2,29176.7,30969.86,1659.98
73,27619.2,1790.75,29409.95,30733.94,1678.86
74,27964.9,1828.65,29793.55,30402.52,1702.31
75,27627.5,1915.0,29542.5,29939.29,1733.84
76,27080.15,1985.15,29065.3,29388.69,1767.7
77,25968.55,1946.75,27915.3,28730.71,1798.72
78,25280.0,1869.45,27149.45,28046.07,1819.7
79,26089.25,1883.9,27973.15,27499.04,1839.74
80,26189.7,1899.5,28089.2,27061.25,1860.92
81,26456.85,1930.6,28387.45,26769.26,1881.0
82,26009.7,1884.85,27894.55,26628.58,1893.46
83,25705.6,1810.2,27515.8,26437.22,1895.4
84,24474.1,1818.2,26292.3,26088.14,1894.36
85,23326.8,1807.2,25134.0,25658.07,1883.58
86,22825.1,1740.25,24565.35,25232.56,1859.09
87,23143.85,1754.45,24898.3,24950.09,1839.86
88,23700.35,1751.5,25451.85,24792.13,1828.06
89,24085.5,1790.75,25876.25,24591.75,1818.75
90,23869.3,1811.8,25681.1,24359.72,1809.98
91,25360.75,1919.65,27280.4,24250.1,1808.89
92,26047.75,2035.4,28083.15,24253.91,1823.94
93,26239.35,2043.0,28282.35,24307.28,1847.22
94,26389.35,2030.4,28419.75,24498.81,1868.44
95,26117.3,1935.25,28052.55,24777.86,1881.24
96,26673.2,1894.05,28567.25,25162.67,1896.62
97,27284.6,1940.9,29225.5,25576.74,1915.27
98,27301.6,1949.05,29250.65,25936.87,1935.02
99,26397.05,1933.65,28330.7,26168.02,1949.32
100,26482.3,1979.75,28462.05,26429.32,1966.11
101,26305.6,1996.8,28302.4,26523.81,1973.82
102,26343.75,2037.45,28381.2,26553.41,1974.03
103,26498.9,2047.6,28546.5,26579.36,1974.49
104,26712.8,1998.5,28711.3,26611.71,1971.3
105,27539.0,2000.0,29539.0,26753.88,1977.78
106,27655.3,2018.55,29673.85,26852.09,1990.22
107,27266.45,2016.85,29283.3,26850.28,1997.82
108,26582.2,2002.75,28584.95,26778.34,2003.19
109,25914.05,1939.4,27853.45,26730.04,2003.76
110,26960.55,1939.35,28899.9,26777.86,1999.72
111,26308.9,1841.4,28150.3,26778.19,1984.18
112,25589.4,1726.7,27316.1,26702.75,1953.11
113,25023.45,1707.95,26731.4,26555.21,1919.14
114,26346.35,1863.3,28209.65,26518.56,1905.62
115,28565.45,1855.9,30421.35,26621.21,1891.22
116,34733.0,2046.75,36779.75,27328.98,1894.04
117,34620.4,1978.9,36599.3,28064.38,1890.24
118,36676.6,2063.25,38739.85,29073.82,1896.29
119,37317.05,2082.35,39399.4,30214.12,1910.58
120,37777.35,2061.8,39839.15,31295.8,1922.83
121,37423.5,2033.2,39456.7,32407.25,1942.01
122,39304.1,2177.85,41481.95,33778.72,1987.12
123,41290.95,2262.45,43553.4,35405.48,2042.58
124,41881.5,2275.7,44157.2,36958.99,2083.82
125,41280.3,2299.45,43579.75,38230.48,2128.17
126,41526.3,2314.35,43840.65,38909.8,2154.93
127,44723.6,2504.95,47228.55,39920.12,2207.54
128,45136.85,2543.5,47680.35,40766.15,2255.56
129,45249.5,2556.15,47805.65,41559.39,2302.94
130,45434.85,2567.25,48002.1,42325.14,2353.48
131,49360.75,2525.1,51885.85,43518.87,2402.68
132,51301.25,2502.5,53803.75,44718.58,2435.14
133,51228.35,2499.95,53728.3,45712.32,2458.89
134,49322.75,2381.5,51704.25,46456.45,2469.47
135,47411.75,2407.3,49819.05,47069.59,2480.26
136,40799.7,2229.3,43029.0,46996.94,2471.75
137,40331.3,2253.15,42584.45,46557.7,2446.57
138,38798.95,2206.85,41005.8,45923.91,2412.9
139,41189.65,2433.65,43623.3,45517.93,2400.66
140,43577.8,2585.9,46163.7,45332.22,2402.52
141,44371.9,2587.45,46959.35,44833.34,2408.76
142,43003.85,2416.1,45419.95,44003.6,2400.11
143,40944.3,2333.9,43278.2,42975.2,2383.51
144,40070.35,2305.3,42375.65,42049.96,2375.89
145,39782.8,2273.1,42055.9,41287.06,2362.47
146,39405.95,2226.6,41632.55,41147.68,2362.2
147,36106.4,2027.4,38133.8,40725.2,2339.62
148,35762.75,2009.25,37772.0,40421.57,2319.87
149,35791.6,2019.6,37811.2,39881.77,2278.46
150,36139.2,2073.85,38213.05,39137.91,2227.26
151,35022.5,2490.35,37512.85,38202.97,2217.54
152,33368.15,2521.85,35890.0,37239.4,2228.12
153,33544.05,2543.8,36087.85,36499.38,2249.11
154,34860.25,2492.9,37353.15,35978.37,2267.87
155,35392.6,2488.05,37880.65,35539.34,2289.36
156,37995.35,2518.15,40513.5,35398.29,2318.52
157,39725.85,2568.7,42294.55,35760.23,2372.65
158,39340.75,2532.65,41873.4,36118.03,2424.99
159,36386.9,2308.0,38694.9,36177.56,2453.83
160,33295.75,2126.1,35421.85,35893.22,2459.06
161,32504.35,2105.25,34609.6,35641.4,2420.54
162,31818.7,2094.5,33913.2,35486.46,2377.81
163,31457.2,2080.6,33537.8,35277.77,2331.49
164,31860.8,2079.1,33939.9,34977.82,2290.11
165,32439.9,2098.45,34538.35,34682.56,2251.15
166,32501.35,2119.65,34621.0,34133.16,2211.3
167,32901.0,2110.6,35011.6,33450.67,2165.49
168,32689.9,2098.35,34788.25,32785.59,2122.06
169,32791.1,2080.1,34871.2,32426.0,2099.27
170,30952.05,1991.9,32943.95,32191.64,2085.85
171,26847.95,1575.25,28423.2,31626.0,2032.85
172,27212.1,1580.45,28792.55,31165.34,1981.45
173,27308.45,1619.35,28927.8,30750.46,1935.32
174,26307.6,1598.65,27906.25,30195.14,1887.28
175,25496.4,1607.75,27104.15,29500.79,1838.2
176,23484.65,1619.35,25104.0,28599.12,1788.18
177,22755.65,1616.15,24371.8,27584.58,1738.73
178,22961.95,1625.6,24587.55,26611.79,1691.46
179,24085.2,1664.45,25749.65,25741.2,1649.89
180,25541.1,1712.3,27253.4,25200.11,1621.93
181,26062.8,1735.7,27798.5,25121.59,1637.98
182,26756.0,1795.7,28551.7,25075.98,1659.5
183,28128.15,1836.55,29964.7,25157.95,1681.22
184,27796.85,1844.45,29641.3,25306.88,1705.8
185,27458.3,1816.1,29274.4,25503.06,1726.64
186,27775.7,1859.2,29634.9,25932.17,1750.62
187,28035.4,1909.15,29944.55,26460.14,1779.92
188,28081.05,1918.95,30000.0,26972.06,1809.26
189,28059.85,1920.25,29980.1,27369.52,1834.83
190,27973.75,1895.95,29869.7,27612.78,1853.2
191,27887.3,1903.8,29791.1,27795.23,1870.01
192,27849.1,1879.95,29729.05,27904.54,1878.44
193,28169.6,1815.75,29985.35,27908.69,1876.36
194,27803.6,1831.4,29635.0,27909.36,1875.05
195,27860.3,1815.75,29676.05,27949.56,1875.02
196,27008.55,1736.4,28744.95,27872.85,1862.74
197,26081.65,1705.45,27787.1,27677.48,1842.36
198,25578.35,1680.65,27259.0,27427.2,1818.54
199,24159.45,1592.9,25752.35,27037.16,1785.8
200,23650.25,1586.7,25236.95,26604.81,1754.88
201,24030.7,1650.0,25680.7,26219.16,1729.5
202,23496.85,1596.35,25093.2,25783.93,1701.14
203,22344.1,1547.5,23891.6,25201.38,1674.31
204,22662.25,1562.0,24224.25,24687.25,1647.37
205,23215.25,1624.15,24839.4,24222.74,1628.21
206,23342.3,1646.85,24989.15,23856.12,1619.26
207,22707.3,1628.55,24335.85,23518.68,1611.56
208,23846.25,1741.75,25588.0,23345.47,1617.68
209,23933.85,1806.95,25740.8,23322.91,1639.08
210,23863.25,1820.5,25683.75,23344.21,1662.46
211,23964.5,1802.9,25767.4,23337.59,1677.75
212,24442.55,1799.55,26242.1,23432.16,1698.07
213,25475.75,1815.75,27291.5,23745.32,1724.9
214,26615.8,1889.45,28505.25,24140.68,1757.64
215,27369.4,1953.25,29322.65,24556.09,1790.55
216,27790.1,2015.8,29805.9,25000.88,1827.45
217,28120.5,1992.35,30112.85,25542.2,1863.82
218,27926.1,1989.9,29916.0,25950.18,1888.64
219,28041.2,2015.9,30057.1,26360.92,1909.54
220,27361.05,1973.65,29334.7,26710.7,1924.85
221,27052.6,1890.3,28942.9,27019.5,1933.59
222,27198.0,1898.6,29096.6,27295.05,1943.5
223,27198.4,1906.05,29104.45,27467.31,1952.52
224,26771.9,1871.35,28643.25,27482.92,1950.71
225,26083.85,1809.2,27893.05,27354.37,1936.31
226,28179.85,1770.35,29950.2,27393.34,1911.76
227,29054.4,1751.2,30805.6,27486.73,1887.65
228,28177.9,1608.9,29786.8,27511.92,1849.55
229,28277.45,1547.5,29824.95,27535.54,1802.71
230,28811.55,1580.55,30392.1,27680.59,1763.4
231,29401.4,1640.65,31042.05,27915.47,1738.44
232,28621.6,1674.8,30296.4,28057.83,1716.05
233,27143.5,1680.75,28824.25,28052.34,1693.52
234,26985.1,1633.9,28619.0,28073.66,1669.78
235,26627.35,1571.2,28198.55,28128.01,1645.98
236,29871.8,1547.9,31419.7,28297.2,1623.74
237,30228.55,1563.95,31792.5,28414.62,1605.01
238,31378.7,1599.95,32978.65,28734.7,1604.12
239,31980.3,1660.35,33640.65,29104.98,1615.4
240,31979.75,1652.7,33632.45,29421.8,1622.62
241,31332.2,1672.65,33004.85,29614.88,1625.82
242,31577.55,1684.0,33261.55,29910.48,1626.74
243,31817.5,1715.5,33533.0,30377.88,1630.21
244,32244.3,1781.8,34026.1,30903.8,1645.0
245,32557.1,1811.6,34368.7,31496.78,1669.04
246,30327.7,1812.3,32140.0,31542.36,1695.48
247,30897.35,1834.15,32731.5,31609.25,1722.5
248,31262.85,1888.05,33150.9,31597.66,1751.31
249,31595.05,1885.9,33480.95,31559.14,1773.87
250,31589.3,1859.8,33449.1,31520.09,1794.58
251,31114.95,1802.8,32917.75,31498.36,1807.59
252,30834.75,1788.95,32623.7,31424.08,1818.08
253,30914.0,1773.15,32687.15,31333.73,1823.85
254,30457.5,1776.4,32233.9,31155.06,1823.31
255,30149.4,1792.9,31942.3,30914.28,1821.44
256,27141.75,1794.05,28935.8,30595.69,1819.61
257,27132.75,1807.9,28940.65,30219.23,1816.99
258,26549.6,1770.75,28320.35,29747.9,1805.26
259,26174.4,1722.2,27896.6,29205.84,1788.89
260,26186.6,1715.2,27901.8,28665.57,1774.43
261,26948.0,1722.3,28670.3,28248.88,1766.38
262,26884.55,1707.7,28592.25,27853.86,1758.26
263,26652.85,1736.95,28389.8,27427.74,1754.63
264,26275.25,1703.8,27979.05,27009.52,1747.38
265,25923.25,1678.2,27601.45,26586.9,1735.9
266,25573.35,1644.35,27217.7,26430.06,1720.94
267,24616.65,1627.3,26243.95,26178.45,1702.88
268,24436.95,1608.5,26045.45,25967.18,1686.65
269,23915.8,1615.35,25531.15,25741.32,1675.96
270,23659.25,1608.0,25267.25,25488.59,1665.24
271,23494.45,1617.8,25112.25,25143.24,1654.8
272,23734.65,1618.7,25353.35,24828.25,1645.9
273,23804.15,1641.7,25445.85,24543.38,1636.37
274,23488.85,1635.75,25124.6,24264.74,1629.56
275,23358.0,1652.45,25010.45,24008.21,1626.99
276,23232.5,1649.05,24881.55,23774.12,1627.46
277,22700.2,1652.75,24352.95,23582.48,1630.0
278,22576.9,1672.3,24249.2,23396.48,1636.38
279,22578.0,1665.0,24243.0,23262.7,1641.35
280,22479.2,1707.0,24186.2,23144.69,1651.25
281,21576.35,1673.5,23249.85,22952.88,1656.82
282,21249.5,1638.05,22887.55,22704.36,1658.76
283,21244.8,1559.95,22804.75,22448.43,1650.58
284,21565.45,1543.2,23108.65,22256.09,1641.32
285,21580.1,1560.7,23140.8,22078.3,1632.15
286,21337.1,1552.95,22890.05,21888.76,1622.54
287,20808.4,1533.55,22341.95,21699.58,1610.62
288,20334.3,1506.7,21841.0,21475.32,1594.06
289,20310.9,1503.85,21814.75,21248.61,1577.94
290,20418.0,1513.7,21931.7,21042.49,1558.62
291,20355.55,1533.05,21888.6,20920.41,1544.57
292,19873.5,1502.15,21375.65,20782.81,1530.98
293,19650.0,1451.3,21101.3,20623.33,1520.12
294,19589.0,1416.4,21005.4,20425.69,1507.44
295,19812.05,1421.7,21233.75,20248.88,1493.54
296,20552.9,1516.95,22069.85,20170.46,1489.94
297,20630.35,1502.95,22133.3,20152.66,1486.88
298,20394.55,1483.85,21878.4,20158.68,1484.59
299,20084.05,1465.2,21549.25,20136.0,1480.72
300,19681.1,1422.9,21104.0,20062.3,1471.64
301,19741.4,1443.55,21184.95,20000.89,1462.7
302,19537.0,1452.5,20989.5,19967.24,1457.73
303,26187.25,1479.15,27666.4,20620.96,1460.52
304,30807.75,1491.7,32299.45,21742.84,1468.04
305,39539.35,1490.7,41030.05,23715.57,1474.95
306,40949.1,1526.75,42475.85,25755.19,1475.92
307,41210.65,1558.4,42769.05,27813.22,1481.47
308,41876.55,1629.3,43505.85,29961.42,1496.02
309,42196.7,1755.5,43952.2,32172.68,1525.04
310,43281.35,1825.8,45107.15,34532.71,1565.34
311,43925.5,1857.0,45782.5,36951.12,1606.68
312,44126.0,1879.2,46005.2,39410.02,1649.35
313,44254.8,1915.55,46170.35,41216.78,1692.99
314,43988.05,1919.65,45907.7,42534.8,1735.78
315,43895.0,1879.45,45774.45,42970.37,1774.66
316,43092.15,1759.8,44851.95,43184.68,1797.96
317,43189.85,1769.8,44959.65,43382.6,1819.11
318,43356.75,1799.15,45155.9,43530.62,1836.09
319,43706.5,1839.7,45546.2,43681.6,1844.51
320,44064.3,1837.6,45901.9,43759.89,1845.69
321,43903.1,1817.45,45720.55,43757.65,1841.74
322,44052.8,1851.95,45904.75,43750.33,1839.01
323,37572.0,1890.35,39462.35,43082.05,1836.49
324,33005.15,1870.75,34875.9,41983.76,1831.6
325,24486.25,1855.35,26341.6,40042.88,1829.19
326,23588.0,1822.75,25410.75,38092.47,1835.48
327,23403.4,1776.5,25179.9,36113.82,1836.16
328,22677.0,1725.45,24402.45,34045.85,1828.79
329,22471.1,1610.9,24082.0,31922.31,1805.9
330,21324.7,1537.3,22862.0,29648.35,1775.88
331,20782.3,1485.35,22267.65,27336.27,1742.66
332,20855.75,1479.45,22335.2,25016.56,1705.42
333,20796.3,1473.85,22270.15,23339.0,1663.76
334,20688.05,1463.05,22151.1,22107.28,1623.0
335,20432.25,1435.2,21867.45,21701.88,1580.98
336,20441.15,1430.9,21872.05,21387.2,1541.79
337,19929.15,1388.3,21317.45,21039.78,1502.98
338,19916.5,1353.3,21269.8,20763.72,1465.76
339,20020.25,1323.55,21343.8,20518.64,1437.02
340,20171.95,1334.1,21506.05,20403.36,1416.7
341,20450.0,1352.5,21802.5,20370.13,1403.42
342,20554.8,1354.85,21909.65,20340.04,1390.96
343,21445.85,1324.75,22770.6,20405.0,1376.05
344,21501.45,1324.2,22825.65,20486.34,1362.17
345,21351.3,1318.05,22669.35,20578.24,1350.45
346,21156.6,1320.6,22477.2,20649.78,1339.42
347,21273.35,1340.55,22613.9,20784.2,1334.64
348,21327.4,1329.45,22656.85,20925.29,1332.26
349,21566.2,1379.15,22945.35,21079.89,1337.82
350,21438.75,1357.55,22796.3,21206.57,1340.16
351,21663.5,1362.95,23026.45,21327.92,1341.21
352,22022.65,1386.35,23409.0,21474.7,1344.36
353,23644.2,1409.3,25053.5,21694.54,1352.82
354,25348.45,1444.2,26792.65,22079.24,1364.82
355,25460.0,1450.7,26910.7,22490.11,1378.08
356,25630.3,1511.0,27141.3,22937.48,1397.12
357,25667.25,1517.85,27185.1,23376.87,1414.85
358,25311.2,1505.45,26816.65,23775.25,1432.45
359,24766.3,1479.05,26245.35,24095.26,1442.44
360,24232.25,1472.05,25704.3,24374.61,1453.89
361,23843.65,1442.0,25285.65,24592.62,1461.79
362,23561.4,1403.0,24964.4,24746.5,1463.46
363,22165.2,1380.65,23545.85,24598.6,1460.6
364,21825.1,1396.9,23222.0,24246.27,1455.86
365,21765.0,1408.8,23173.8,23876.77,1451.68
366,22373.4,1429.6,23803.0,23551.08,1443.54
367,22389.2,1436.6,23825.8,23223.27,1435.41
368,22678.75,1433.45,24112.2,22960.02,1428.21
369,22735.25,1383.65,24118.9,22756.92,1418.67
370,22856.35,1443.25,24299.6,22619.33,1415.79
371,22907.25,1430.55,24337.8,22525.69,1414.64
372,22476.95,1389.1,23866.05,22417.25,1413.26
373,20716.55,1342.95,22059.5,22272.38,1409.48
374,19273.2,1316.3,20589.5,22017.19,1401.42
375,19549.2,1338.15,20887.35,21795.61,1394.36
376,19071.4,1274.85,20346.25,21465.41,1378.88
377,19389.55,1309.1,20698.65,21165.44,1366.13
378,20132.6,1476.6,21609.2,20910.83,1370.45
379,20347.05,1551.25,21898.3,20672.01,1387.21
380,20480.05,1544.65,22024.7,20434.38,1397.35
381,20617.4,1552.9,22170.3,20205.4,1409.58
382,20651.1,1556.9,22208.0,20022.81,1426.36
383,20531.2,1546.1,22077.3,20004.28,1446.68
384,20389.75,1519.95,21909.7,20115.93,1467.04
385,20451.65,1506.65,21958.3,20206.18,1483.9
386,19659.55,1474.15,21133.7,20264.99,1503.82
387,19716.15,1477.85,21194.0,20297.65,1520.7
388,19481.25,1505.65,20986.9,20232.52,1523.6
389,18950.85,1476.7,20427.55,20092.9,1516.15
390,19359.35,1442.6,20801.95,19980.82,1505.94
391,19750.05,1469.9,21219.95,19894.09,1497.64
392,22427.0,1634.8,24061.8,20071.68,1505.44
393,23374.65,1699.65,25074.3,20356.03,1520.79
394,23918.35,1694.45,25612.8,20708.89,1538.24
395,23753.6,1698.35,25451.95,21039.08,1557.41
396,23677.95,1689.3,25367.25,21440.92,1578.92
397,23541.15,1682.95,25224.1,21823.42,1599.44
398,23198.6,1555.35,24753.95,22195.16,1604.4
399,23309.45,1518.3,24827.75,22631.02,1608.56
400,23418.5,1576.95,24995.45,23036.93,1622.0
401,23742.85,1592.1,25334.95,23436.21,1634.22
402,24222.05,1619.7,25841.75,23615.72,1632.71
403,24565.2,1635.55,26200.75,23734.77,1626.3
404,24724.75,1649.25,26374.0,23815.41,1621.78
405,26221.0,1758.2,27979.2,24062.15,1627.76
406,29015.35,1814.05,30829.4,24595.89,1640.24
407,28905.8,1794.55,30700.35,25132.36,1651.4
408,30785.7,1866.95,32652.65,25891.06,1682.56
409,31341.7,1934.4,33276.1,26694.29,1724.17
410,30767.05,1952.5,32719.55,27429.14,1761.72
411,30346.85,1927.65,32274.5,28089.54,1795.28
412,27367.75,1764.5,29132.25,28404.12,1809.76
413,26336.6,1692.1,28028.7,28581.25,1815.42
414,25642.75,1688.7,27331.45,28673.06,1819.36
415,26534.55,1717.55,28252.1,28704.41,1815.3
416,26458.65,1723.9,28182.55,28448.74,1806.28
417,26476.9,1710.5,28187.4,28205.85,1797.88
418,26302.35,1685.65,27988.0,27757.51,1779.74
419,26007.95,1660.25,27668.2,27224.14,1752.33
420,26742.9,1630.95,28373.85,26821.72,1720.18
421,27744.7,1688.9,29433.6,26561.51,1696.3
422,27529.3,1680.2,29209.5,26577.66,1687.87
423,27567.55,1718.4,29285.95,26700.76,1690.5
424,27584.65,1719.05,29303.7,26894.95,1693.54
425,26452.0,1665.85,28117.85,26886.7,1688.37
426,24200.2,1625.6,25825.8,26660.85,1678.54
427,25037.1,1647.25,26684.35,26516.87,1672.21
428,24526.5,1595.5,26122.0,26339.28,1663.2
429,24210.0,1538.0,25748.0,26159.49,1650.97
430,24857.45,1511.7,26369.15,25970.94,1639.04
431,24936.6,1533.85,26470.45,25690.14,1623.54
432,25932.65,1569.9,27502.55,25530.47,1612.51
433,26501.55,1649.65,28151.2,25423.87,1605.64
434,26824.1,1664.25,28488.35,25347.82,1600.16
435,25691.8,1611.0,27302.8,25271.8,1594.67
436,25979.55,1614.15,27593.7,25449.73,1593.52
437,26779.05,1605.5,28384.55,25623.92,1589.35
438,26737.0,1612.45,28349.45,25844.98,1591.04
439,27234.25,1686.55,28920.8,26147.4,1605.9
440,26436.75,1650.8,28087.55,26305.33,1619.81
441,25130.25,1571.8,26702.05,26324.7,1623.6
442,25182.7,1567.4,26750.1,26249.7,1623.36
443,24909.6,1520.3,26429.9,26090.5,1610.42
444,26382.65,1592.5,27975.15,26046.36,1603.24
445,26645.05,1612.25,28257.3,26141.68,1603.37
446,26179.6,1611.2,27790.8,26161.69,1603.08
447,25034.15,1594.9,26629.05,25987.2,1602.02
448,23761.5,1567.0,25328.5,25689.65,1597.47
449,23603.1,1565.75,25168.85,25326.54,1585.39
450,22944.25,1559.85,24504.1,24977.28,1576.3
451,23183.7,1566.9,24750.6,24782.63,1575.8
452,23387.9,1570.85,24958.75,24603.15,1576.15
453,23811.45,1629.9,25441.35,24493.34,1587.11
454,23972.25,1637.65,25609.9,24252.3,1591.62
455,24747.6,1668.15,26415.75,24062.55,1597.22
456,25022.85,1686.55,26709.4,23946.88,1604.75
457,24525.9,1748.25,26274.15,23896.05,1620.08
458,24715.3,1732.15,26447.45,23991.43,1636.6
459,24222.7,1658.85,25881.55,24053.39,1645.91
460,24244.85,1662.15,25907.0,24183.45,1656.14
461,25050.35,1734.25,26784.6,24370.12,1672.88
462,25486.6,1748.2,27234.8,24579.98,1690.61
463,26088.45,1742.2,27830.65,24807.68,1701.84
464,24426.1,1674.4,26100.5,24853.07,1705.52
465,23886.45,1623.45,25509.9,24766.96,1701.04
466,23809.3,1618.25,25427.55,24645.6,1694.22
467,24715.6,1670.4,26386.0,24664.57,1686.43
468,24797.2,1646.75,26443.95,24672.76,1677.89
469,24837.85,1639.6,26477.45,24734.28,1675.96
470,25033.45,1642.9,26676.35,24813.14,1674.04
471,25096.25,1676.25,26772.5,24817.72,1668.24
472,24401.5,1634.55,26036.05,24709.22,1656.88
473,25750.9,1532.8,27283.7,24675.46,1635.94
474,27256.25,1649.1,28905.35,24958.48,1633.41
475,27489.75,1757.6,29247.35,25318.8,1646.82
476,27485.1,1775.7,29260.8,25686.38,1662.56
477,27645.85,1728.1,29373.95,25979.41,1668.33
478,27760.45,1774.5,29534.95,26275.74,1681.11
479,28008.25,1789.85,29798.1,26592.78,1696.13
480,28153.55,1800.25,29953.8,26904.78,1711.87
481,27720.55,1771.9,29492.45,27167.21,1721.44
482,27364.5,1782.45,29146.95,27463.51,1736.22
483,27121.3,1789.4,28910.7,27600.56,1761.88
484,27421.85,1801.85,29223.7,27617.12,1777.16
485,27139.25,1781.3,28920.55,27582.06,1779.53
486,26934.1,1776.25,28710.35,27526.96,1779.58
487,26662.55,1712.0,28374.55,27428.64,1777.98
488,26677.95,1740.05,28418.0,27320.38,1774.53
489,26791.05,1787.75,28578.8,27198.66,1774.32
490,26370.4,1788.8,28159.2,27020.35,1773.18
491,25554.9,1710.8,27265.7,26803.78,1767.06
492,25218.85,1712.1,26930.95,26589.22,1760.03
493,23843.4,1693.7,25537.1,26261.43,1750.46
494,22249.9,1567.6,23817.5,25744.24,1727.04
495,21468.4,1438.75,22907.15,25177.15,1692.78
496,21463.05,1433.6,22896.65,24630.04,1658.52
497,21385.85,1468.1,22853.95,24102.38,1634.12
498,21315.45,1451.45,22766.9,23566.12,1605.26
499,22050.65,1487.3,23537.95,23092.08,1575.22
500,22663.1,1517.6,24180.7,22721.36,1548.1
501,22725.55,1490.1,24215.65,22438.42,1526.03
502,22892.95,1473.3,24366.25,22205.83,1502.15
503,23034.85,1496.5,24531.35,22124.98,1482.43
504,22859.95,1472.35,24332.3,22185.98,1472.9
505,22909.85,1479.95,24389.8,22330.12,1477.02
506,23278.65,1468.35,24747.0,22511.68,1480.5
507,22885.55,1471.75,24357.3,22661.66,1480.86
508,22426.8,1431.85,23858.65,22772.79,1478.9
509,22091.0,1378.85,23469.85,22776.82,1468.06
510,22462.1,1366.1,23828.2,22756.72,1452.91
511,22786.6,1416.35,24202.95,22762.83,1445.54
512,24999.6,1419.25,26418.85,22973.5,1440.13
513,24731.5,1444.2,26175.7,23143.16,1434.9
514,24511.65,1441.75,25953.4,23308.33,1431.84
515,24237.55,1439.85,25677.4,23441.1,1427.83
516,23901.1,1407.45,25308.55,23503.34,1421.74
