nb_A,nb_W,nb_A_W
13018,1402,14418
14472,1653,16105
14483,2416,16871
18789,2917,21673
10787,1648,12430
19412,1238,20639
19391,1403,20781
15402,1632,17032
17554,1475,18969
18231,1560,19712
17625,1572,19159
24636,1613,26199
15314,1336,16609
26482,1422,27876
20802,1176,21957
12707,1073,13779
20346,1698,22039
13804,1522,15245
19499,1333,20797
15445,1606,17042
17121,1096,18183
12084,1385,13465
14395,1681,16030
14020,1250,15246
14108,1029,15131
13189,1231,14393
13426,1293,14684
11839,1585,13409
12447,1302,13746
15645,1912,17527
12240,1426,13644
14163,1285,15396
19382,1744,20995
12368,1576,13942
10469,1512,11974
22336,2272,24603
14030,1935,15959
13620,1677,15284
12873,1694,14564
14453,1538,15964
9665,1074,10734
13242,1581,14819
13543,1252,14793
13548,1417,14912
14182,1700,15864
11381,1136,12477
12471,1241,13702
13087,1202,14257
22532,2185,24703
12514,1491,13982
20891,1905,22795
16398,1748,18113
12159,1268,13386
10504,1125,11629
15953,1832,17768
12806,1409,14215
12426,1690,14093
12344,1239,13583
15951,2073,18013
9924,1170,11072
101384,12816,114193
25614,1684,27270
16122,1089,17211
19895,1788,21677
17168,1679,18843
15736,1600,17329
12990,1654,14631
22632,1946,24572
15691,1463,17143
13943,1432,15363
14034,2253,16285
10687,1638,12325
9847,1325,11155
14971,1708,16668
12550,1515,14038
18364,1369,19712
14125,1426,15549
16676,1475,18132
21433,1704,23117
16341,1521,17862
22981,1920,24877
10056,1397,11434
9028,965,9987
9856,1032,10879
12572,1481,14039
12013,1323,13317
21523,2207,23727
12547,1539,14083
21438,2062,23489
11143,1980,13123
17583,2257,19791
18000,1239,19234
16073,1938,18005
15428,1365,16786
12902,1404,14302
13494,1338,14815
14786,1229,16006
33659,3650,37307
24924,3674,28587
24108,1953,26057
67477,1421,68866
32863,1357,34210
13438,1079,14472
19613,1595,21118
13476,1419,14865
18006,1804,19751
14248,1155,15383
15057,1270,16324
13283,1397,14677
12910,1268,14168
16113,1980,18085
17598,1698,19289
12394,1228,13560
9569,1458,10999
10997,1233,12211
10903,1226,12074
13954,1238,15187
17661,2160,19805
26382,3883,30265
15629,1568,17190
14998,1641,16635
14033,1066,15094
11371,1028,12377
12280,1028,13300
15301,1864,17141
13414,1264,14669
11199,1455,12631
13188,1404,14585
14999,2094,17078
14694,1234,15904
17759,1272,19023
20543,1835,22378
13041,1549,14577
12852,1492,14328
12415,1543,13906
18497,1274,19769
13348,1090,14414
18886,1969,20798
17074,1687,18694
19462,1562,21023
11771,1261,13004
11542,1350,12889
12006,1409,13409
14628,1976,16598
14119,1316,15431
16839,1326,18152
12232,1131,13335
13466,1339,14755
11791,1197,12971
33068,3818,36838
27572,2333,29890
21243,1902,23124
17233,2705,19905
12163,1427,13542
27100,2198,29297
22799,1684,24476
40886,4141,45000
22166,2416,24553
12987,1656,14643
14548,1217,15749
15180,1300,16021
12548,1352,13853
12470,1463,13928
20845,2064,22905
14616,1387,15987
15207,1810,17017
16529,1919,18447
13123,1054,14162
14624,1429,16048
17930,2419,20349
15441,2556,17996
22156,1769,23911
23724,1632,25337
48064,5573,53536
38197,5215,43369
40356,6723,47035
47523,7029,54512
33573,7899,41454
27669,5752,33394
22088,2795,24869
19501,2462,21946
24604,1958,26494
27275,2114,29323
61514,5265,66776
80561,7810,88370
59479,9274,68623
82196,14288,96469
55343,15566,70880
36799,11276,48070
18056,5706,23756
22786,3357,26134
13202,1965,15137
12780,1133,13912
32051,2010,34057
23361,2485,25810
17371,1743,19081
24414,1574,25954
16590,1405,17982
14916,1924,16837
13210,1614,14814
16728,1424,18150
28045,2344,30383
14356,1069,15418
12178,1001,13164
11746,1302,13040
12035,1522,13550
11030,1705,12730
23132,2512,25637
15589,1471,17058
17709,1484,19191
14288,1638,15925
11640,1234,12860
14048,1300,15348
60064,3532,63379
34846,1941,36441
14348,1394,15742
19361,1349,20620
17444,1811,19255
21995,1519,23466
17732,1893,19574
16071,1744,17813
12420,1158,13576
15036,1007,16036
18509,1561,20069
14931,1147,16076
11586,954,12518
13506,1493,14996
13815,1165,14979
11757,1339,13084
13408,1212,14596
11434,1295,12689
12326,1185,13510
12411,1002,13403
15276,1800,17030
10569,1159,11721
8805,967,9724
9319,1211,10486
10415,1161,11514
16844,1616,18454
23864,2291,26094
10677,1033,11693
9365,1105,10461
14471,1007,15472
17860,1420,19261
14138,1385,15472
16346,1793,18125
14662,1082,15724
10935,1104,12036
11919,1314,13221
19791,1223,20981
16415,1642,18041
10840,1401,12235
20051,2010,22012
13026,1182,14203
12640,1092,13727
9404,812,10207
14001,993,14922
9204,1082,10269
17808,1953,19685
15878,1745,17622
16194,1552,17739
19198,1828,21022
18248,1413,19661
17528,1235,18754
15308,1533,16841
17097,1719,18803
13463,1584,14944
12854,1562,14405
13417,1621,15027
24176,2880,26982
16003,1502,17504
24981,2339,27319
10025,1206,11225
9480,989,10468
12361,1195,13552
14508,1330,15793
13265,1493,14754
16116,2051,18161
12919,1222,14139
12805,1197,14002
15105,1308,16413
13095,1484,14568
11575,1563,13137
15432,1705,17095
21951,1900,23849
10382,1158,11537
12958,1290,14245
11666,1426,13084
14565,1467,16026
11642,1529,13170
18537,2307,20843
11980,1456,13281
13584,1739,15317
16758,1754,18511
21185,1928,23108
13129,1031,14158
18859,1712,20569
15597,1586,17183
12622,1294,13910
12887,1596,14480
14363,1747,16107
16075,1172,17242
30219,1496,31243
57625,2531,60140
27725,1613,29333
59425,2314,61733
24599,2809,27395
12153,1254,13405
19660,1274,20930
20486,1633,22116
10949,922,11836
9050,942,9973
9163,1157,10298
10468,905,11348
11459,925,12373
43640,2090,45724
21872,1392,23257
20766,1539,22305
10542,1521,12047
36928,1623,38542
19152,975,20106
16537,1697,18233
16209,1669,17864
20164,1201,21327
14339,1562,15896
10695,1504,12186
11297,1180,12477
11780,1203,12944
20289,1699,21965
12285,1347,13627
11595,1127,12710
10905,1126,12029
16378,1673,18027
18560,1424,19972
18204,1875,20075
18401,3034,21425
17226,1493,18709
23227,1968,25186
21370,1322,22689
14769,1388,16123
13859,1465,15318
21566,2076,23624
18703,1809,20511
